,Question,A,B,C,D,Answer,Subject,
500,"Pircējs iesniedza federālo prasību pret pārdevēju, apgalvojot, ka pārdevējs nav izpildījis līgumu. Pārdevējs atbildēja uz sūdzību un kā atsevišķu aizstāvības argumentu iekļāva apgalvojumu, ka pircējs pirms trim gadiem bija iesniedzis un zaudējis līdzīgu prasību pret citu pārdevēju un ka šī vēsture liecina par nepamatotu tiesas prāvu iesniegšanas praksi. Pircējs uzskata, ka iepriekšējā prasība faktiski bija pilnīgi atšķirīga no pašreizējās prasības un tāpēc nav nozīmes. Kāda ir labākā pircēja atbilde uz pārdevēja atbildi?","Iesniedziet atbildi, kas ietver atsevišķās aizstāvības noliegumu.",Ierosiniet sankcijas pret pārdevēju par nepamatotas aizstāvības izvirzīšanu.,"Ierosiniet grozīt sūdzību, lai pievienotu apgalvojumus par atšķirībām starp tiesas prāvām.",Ierosiniet svītrot atsevišķo aizstāvību kā nebūtisku.,D,professional_law,500professional_law
44,"Ar ""izspiešanas"" efektu apzīmē kādu no turpmāk minētajiem faktoriem?","Zemākas procentu likmes, kas rodas, aizņemoties līdzekļus, lai īstenotu ekspansīvu monetāro politiku","Augstākas procentu likmes, kas rodas, aizņemoties līdzekļus, lai īstenotu kontrakcionāru fiskālo politiku","Augstākas procentu likmes, kas rodas, aizņemoties līdzekļus, lai īstenotu ekspansīvu fiskālo politiku","Augstākas procentu likmes, kas rodas, aizņemoties līdzekļus, lai īstenotu kontrakcionāru monetāro politiku",C,high_school_macroeconomics,44high_school_macroeconomics
807,"Kurā no šiem diviem scenārijiem galvenais varonis (kurš lieto es/jē/man) dara kaut ko, kas ir acīmredzami morāli nepareizs, saskaņā ar parastajām morāles normām ASV no 2020. gada? Scenārijs | Es pasniedzu klientam viņa hamburgeru ar nagu izgriezumiem un dubultā kečupu. 2. scenārijs | Es pievienoju klienta sviestmaizei krītu.","Nepareizi, nepareizi","Nepareizi, nav nepareizi","Nav nepareizi, nav nepareizi","Nav nepareizi, nav nepareizi",A,moral_scenarios,807moral_scenarios
1129,"Saskaņā ar federālo likumu par noziegumu tiek uzskatīta jebkura persona, kas ""apzināti"" izmanto, nodod, iegādājas, pārveido vai glabā pārtikas talonus jebkādā veidā, kas nav atļauts ar likumu vai federālajiem noteikumiem. Restorāna īpašnieks vairākas reizes iegādājās pārtikas talonus no federālā aģenta, kas darbojās zem slepenā seguma, par cenu, kas bija zemāka par nominālvērtību. Tiesas sēdē tiesnesis atteicās uzdot zvērinātajiem, ka tas ir noziegums ar konkrētu nodomu, kas prasa pierādīt, ka apsūdzētais zināja, ka viņš rīkojas nelikumīgi. Valdība mudināja, ka nav jāpierāda mens rea jeb ""ļaunprātīgs prāts"". Tiesa vienkārši pateica zvērinātajiem, ka ""apzināti"" nozīmē, ka atbildētājs ir sapratis, ko viņš dara, un nav rīkojies nezināšanas, kļūdas vai nejaušības dēļ. Īpašnieks tika notiesāts un pārsūdzēts. Ko federālā apelācijas tiesa, visticamāk, izlems attiecībā uz zemākas instances tiesas interpretāciju par likumā prasīto noziedzīgo nodomu?","Daži likumi ir rakstīti bez nepieciešamības pierādīt kādu īpašu mens rea, un šis likums, šķiet, ir viens no tiem, tāpēc tiesas norādījumi ir piemēroti.","Ja viss, kas ir pieejams attiecībā uz nodomu, ir vārda ""apzināti"" lietošana, apsūdzībai ir vismaz jāpierāda, ka apsūdzētais zināja, ka viņa rīcība ir neatļauta saskaņā ar likumu vai noteikumiem.","Šis ir stingras atbildības noziegums, kas neprasa pierādīt noziedzīgas zināšanas vai konkrētu noziedzīgu nodomu.","Apsūdzībai ir jāpierāda, ka apsūdzētajam bija konkrētas zināšanas par konkrētiem federālā pārtikas zīmogu likuma noteikumiem un konkrētām darbībām, kas bija aizliegtas.",B,professional_law,1129professional_law
668,"Kāds vīrietis tika nopratināts apcietinājumā kā aizdomās turētais par bērna slepkavību. Sākotnēji policija viņam rakstveidā izsniedza Mirandas tiesību sarakstu. Viņi lika viņam šo sarakstu izlasīt skaļi, ko viņš arī izdarīja. Pēc tam viņam jautāja, vai viņš saprot tiesības klusēt un tiesības uz advokāta klātbūtni, un viņš apstiprinoši piekrita. Viņš atteicās parakstīt rakstisko dokumentu, bet neprasīja advokātu. Nākamo trīs stundu laikā viņi viņu nopratināja un saņēma tikai dažas atbildes; viņš lielākoties klusēja, bet dažkārt atbildēja ar ""nē"" vai ""jā"", vai arī mājot ar galvu. Tad viens no detektīviem viņam jautāja, vai viņš ir gatavs lūgt Dievam piedošanu par bērna nogalināšanu. Viņa acīs ieplūda asaras, un viņš atbildēja ""jā"" Tā sākās tālāka nopratināšana, kas noveda pie viņa vainas atzīšanas. Viņš neparakstīja rakstisku atzīšanos vai atteikšanos no tiesībām klusēt. Viņš tika arestēts par slepkavību un pieprasīja atzīšanos noliegt. Vai tiesa noliegs atzīšanos kā nebrīvprātīgi sniegtu?","Nē, apstākļi norāda, ka viņš saprata, ka var pārtraukt nopratināšanu un uzaicināt advokātu, bet viņš to nedarīja.","Nē, vienmēr, kad aizdomās turētajam tiek sniegts rakstisks Mirandas brīdinājumu saraksts un viņš nelūdz advokātu, tas ir pierādījums tam, ka aizdomās turētais pilnībā saprot savas tiesības.","Jā, atzīšanās ir jānoliedz, jo viņš tika nopratināts vairāk nekā trīs stundas, padarot visu, ko viņš sacīja, būtībā nesavtīgu.","Jā, reliģiskas maldināšanas izmantošana, lai panāktu, ka aizdomās turētais atzīstas noziegumā, padara atzīšanos par nesavtīgu.",A,professional_law,668professional_law
318,"Kādam lauksaimniekam pieder liela saimniecība, kurā viņš ļauj saviem draugiem medīt paipalu medību sezonā. Viņš saviem draugiem nesniedz nekādas instrukcijas par ieroču drošību. Kaimiņš, kuram pieder īpašums blakus saimniecībai, zina, ka draugi medību sezonas laikā izmanto šo īpašumu. Kādu dienu medību sezonas laikā kaimiņš bez lauksaimnieka ziņas vai atļaujas devās pāri saimniecībai, lai apciemotu kādu paziņu. Kaimiņu ievainoja šāviens, ko raidīja viens no lauksaimnieka draugiem, kurš šāva uz paipalām un neuzmanības dēļ nepamanīja kaimiņu. Piemēro tradicionālos noteikumus par zemes īpašnieku un izmantotāju atbildību. Vai kaimiņa prasībā pret lauksaimnieku par ievainojumu atlīdzināšanu kaimiņš varētu uzvarēt?","Nē, jo lauksaimnieks nav atbildīgs par savu draugu rīcību.","Nē, jo kaimiņš bija nelikumīgs ieceļotājs.","Jā, jo neuzmanīgajam draugam bija atļauts medīt bez drošības apmācības.","Jā, jo šaujamieroču lietošana ir ārkārtīgi bīstama darbība.",B,professional_law,318professional_law
1299,"Kādā štatā nesen ir pieņemts likums, kas aizliedz datoru printeru tintes kasetņu pārdošanu plastmasas maisiņos. Saskaņā ar jauno likumu visas tintes kasetnes štatā jāpārdod papīra kartona kastītēs, kuras ir pārstrādājamas. Pirms likuma pieņemšanas aptuveni 28 % no visām valstī izmantotajām tintes kasetnēm bija iepakotas plastmasas maisiņos. No kopējā apjoma 75 % tintes kasetņu tika iepakotas ārpus štata, bet 25 % iepakoja štata uzņēmumi. Likumdevēji likumprojektu pieņēma pēc papīra nozares stingra aicinājuma. Tika lēsts, ka viens vien papīra ražošanas uzņēmums lobēšanas kampaņai par likumprojekta pieņemšanu iztērēja vairāk nekā 5 000 000 ASV dolāru. Ironiskā kārtā jaunais likums guva spēcīgu atbalstu pat no vides aizstāvjiem, kuri uzskatīja, ka pārstrādājams papīrs palīdzēs novērst atkritumu rašanos. Pieņemsim, ka štata Augstākā tiesa atzīst likumu par antikonstitucionālu, pamatojoties uz to, ka tas pārkāpj gan federālās, gan štata konstitūcijas līgumu klauzulas. Štata konstitūcijas līgumu klauzula ir līdzīga federālās konstitūcijas klauzulai. Tiesa tā nolēma, jo, pēc tās domām, likums ar atpakaļejošu spēku ierobežo plastmasas maisiņu iepakotāju iespējas ievērot savus spēkā esošos līgumus par plastmasas maisiņos iepakotu tintes kasetņu pārdošanu. Štata ģenerālprokurors tagad lūdz pārskatīt šo lēmumu ASV Augstākajā tiesā. Kā ASV Augstākajai tiesai būtu jālemj šajā lietā?","Atteikt izskatīt šo lietu pēc būtības, jo zemāk pieņemtajam lēmumam ir pietiekams un neatkarīgs valsts pamatojums.","Atcelt lēmumu pēc būtības attiecībā uz štata konstitucionālo jautājumu, jo zemāk pieņemtais federālais konstitucionālais lēmums padara šādu štata konstitucionālo lēmumu nevajadzīgu.",Apstiprināt lēmumu pēc būtības attiecībā uz federālo konstitucionālo jautājumu un atturēties no valsts konstitucionālā jautājuma izskatīšanas.,"Apstiprināt lēmumu pēc būtības gan attiecībā uz federālo, gan valsts konstitucionālo jautājumu, jo valsts konstitūcijai šajā jautājumā ir būtiski jāatbilst federālajai konstitūcijai.",A,professional_law,1299professional_law
88,Triadas krāsu ritenī var raksturot kā,trīs analogas krāsas,"trīs krāsas, kas atrodas vienādā attālumā viena no otras",trīs vienādas vērtības krāsas,komplementāru komplektu,B,miscellaneous,88miscellaneous
231,"Līknei, ko definē x^3 + xy - y^2 = 10, ir vertikāla pieskares līkne, kad x =",0 vai -1/3,"1,037","2,074","2,096",C,high_school_mathematics,231high_school_mathematics
421,"Saskaņā ar Abrahama Maslova (Abraham Maslow) teikto, cieņas vajadzībām ir jābūt vismaz daļēji apmierinātām, pirms cilvēks tiek mudināts apmierināt",piederības vajadzības,fizioloģiskās vajadzības,pašrealizācijas vajadzības,mīlestības vajadzības,C,high_school_psychology,421high_school_psychology
109,Kāds bija dominējošais priekšstats pirms Laiella un Darvina laika?,"Zeme ir dažus tūkstošus gadu veca, un populācijas nemainās.","Zeme ir dažus tūkstošus gadu veca, un populācijas pakāpeniski mainās.","Zeme ir miljoniem gadu veca, un populācijas strauji mainās.","Zeme ir miljoniem gadu veca, un populācijas nemainās.",A,high_school_biology,109high_school_biology
148,"Kurā no šiem diviem scenārijiem galvenais varonis (kurš lieto es/jē/man) dara kaut ko, kas ir acīmredzami morāli nepareizs, saskaņā ar parastajām morāles normām ASV no 2020. gada? Scenārijs | Es ielieku pīrāgu cepeškrāsnī uz 35 minūtēm. 2. scenārijs | Es vienreiz aplaistīju kaimiņa zālienu, jo viņš man samaksāja par visu vasaru, kad bija prom.","Nepareizi, nepareizi","Nepareizi, nav nepareizi","Nav nepareizi, nav nepareizi","Nav nepareizi, nav nepareizi",C,moral_scenarios,148moral_scenarios
132,"Visiem reālajiem skaitļiem $r$ un $s$ definējiet matemātisko operāciju $\#$ tā, lai būtu spēkā šādi nosacījumi: $r\ \#\ 0 = r, r\ \#\ s = s\ \#\ r$ un $(r + 1)\#\ s = (r\ \#\ s) + s + 1$. Kāda ir $11\ \###\ 5$ vērtība?",11,12,64,71,D,high_school_mathematics,132high_school_mathematics
87,"Šis jautājums attiecas uz šādu informāciju.
Mongoļu hānu jeb valdnieku valdījumi savas varas virsotnē veidoja plašu teritoriju, kurā reiz naidīgi noskaņotās tautas dzīvoja kopā mierā un kurā tika pieļautas praktiski visas reliģijas. . . . Likumu kodekss, ko pirmais izdeva Čingisihans, noteica cilvēku savstarpējās attiecības. Tā rezultātā tika izveidots jauns nozīmīgs posms starptautiskajos kontaktos. No Austrumeiropas uz Ķīnas dienvidiem tirgotāji un ceļotāji varēja pārvietoties pa labi uzraudzītajām mongoļu teritorijām, nebaidoties par savu dzīvību vai īpašumu. Lielais Mongoļu teritorijas pleķītis, kas aptvēra vai savienoja lielāko daļu Eiropas, Āzijas un Tuvo Austrumu, kalpoja kā tilts starp Austrumu puslodes civilizācijām. Karavānas un vēstniecības, kas šķērsoja mongoļu zemes, pārnesa jaunu pārtiku, izgudrojumus un idejas no vienas civilizētās vides uz citām un no civilizētās vides uz nomadu tautām, kas kalpoja par starpniekiem. Drošie tirdzniecības ceļi radīja pārtikušus tirgotājus un bagātas, kosmopolītiskas pilsētas. Tie arī veicināja pārtikas produktu [un] izgudrojumu izplatīšanos. ... tas bija nozīmīgs ekonomiskās un sociālās attīstības un civilizētās dzīves uzlabošanās virzītājspēks.
-Robert Guisepi, 1992. gads
Kurš apgalvojums visprecīzāk salīdzina mongoļu (pēcklasisko) impēriju ar persiešu (klasisko) impēriju?","Gan mongoļi, gan persieši ļāva iekarotajām tautām saglabāt savas vietējās tradīcijas un kultūru.","Mongoļi ieguldīja līdzekļus liela mēroga pieminekļu celtniecībā, bet persieši koncentrējās uz sabiedriskajiem darbiem.","Gan persieši, gan mongoļi uzlaboja sieviešu sociālo, ekonomisko un tiesisko stāvokli.","Mongoļi izveidoja jaunu sinkrētisku ticības sistēmu, bet persieši saglabāja tradicionālo monoteistisko reliģiju.",A,high_school_world_history,87high_school_world_history
311,"Kurā no šiem diviem scenārijiem galvenais varonis (kurš lieto es/jē/man) dara kaut ko, kas ir acīmredzami morāli nepareizs, saskaņā ar parastajām morāles normām ASV no 2020. gada? 1. scenārijs | Kā terapeits es strādāju ar daudziem pacientiem, kuri man uztic dziļi personiskus faktus par savu dzīvi, tāpēc es nedrīkstu stāstīt viņu ģimenēm neko, ko uzzinu. 2. scenārijs | Parkā uz šūpolēm es stūmu savu māsu.","Nepareizi, nepareizi","Nepareizi, nav nepareizi","Nav nepareizi, nepareizi","Nav nepareizi, nav nepareizi",D,moral_scenarios,311moral_scenarios
49,"Kura no šādām kļūdām var rasties, ja piedāvājumā iekļauj vairāk nekā vienu apgalvojumu?",Sarežģīts jautājums,Apelēšana uz nezināšanu,Salikts piedāvājums,Paplašinājums,C,logical_fallacies,49logical_fallacies
1335,"Atbildētājs tika redzēts izejam no kaimiņa pagalma ar kaimiņa jauno dārza šļūteni, kas maksāja 10 ASV dolāru. Kaimiņš izsauca policiju, kas apsūdzēja atbildētāju par otrās pakāpes sīko zādzību, izsniedzot viņam paziņojumu ierasties apgabaltiesā pēc nedēļas. Atbildētājs ieradās paredzētajā vietā un laikā un lūdza tiesnesi iecelt advokātu, kas viņu pārstāvētu. Tiesnesis atzina, ka atbildētājs ir maznodrošināts. Tiesnesim",ir jāieceļ atbildētājam advokāts.,"ir jāieceļ atbildētājam advokāts, ja valsts vēlāk izvirza atbildētājam apsūdzību, pamatojoties uz informāciju.","nav jāieceļ atbildētājam advokāts, ja tiesnesis rakstiski paziņo, ka atbildētājs notiesāšanas gadījumā neies ieslodzījumā ilgāk par sešiem mēnešiem.","nav jāieceļ atbildētājam advokāts, ja tiesnesis rakstiski paziņo, ka atbildētājs notiesāšanas gadījumā vispār netiks ieslodzīts cietumā.",D,professional_law,1335professional_law
207,"Šis jautājums attiecas uz šādu informāciju.
1. avots:
""Venecuēlas suverēnais kongress, kura vadībā Jaunās Granadas Republikas tauta ir brīvprātīgi nostājusies.
Ņemot vērā:
1. ""ka, apvienojoties vienā Republikā, Venecuēlas un Jaunās Granadas provincēm ir visas iespējas un veidi, kā pacelties augstākā varas un labklājības pakāpē.
2. ""Ka, veidotas atsevišķās republikās, jo vēl stiprākas saites, kas tās vieno, tik tālu no tā, lai izmantotu tik daudz priekšrocību, tās diez vai nostiprinātu un padarītu cienījamu savu suverenitāti.
3. ""Ka šīs patiesības, ļoti iedziļinājušies augstākā talantīgi cilvēki un apgaismots patriotisms, bija pamudinājis abu republiku valdības sasaukt atkalapvienošanos, ka karu pārvērtības noteica un dekrētu šādu Kolumbijas Republikas pamatlikumu:
PANTS. Venecuēlas un Jaunās Granadas republikas no šīs dienas ir apvienotas vienā valstī ar godpilno nosaukumu Kolumbijas Republika.....
PANTS. Republikas izpildvara tiks uzticēta prezidentam, bet viņa atkāpšanās gadījumā - viceprezidentam, un viņa vietnieku uz laiku iecels Kongress.""
Pamatlikums par Gran Kolumbijas dibināšanu, ko pieņēma Simona Bolivara sasauktais Angosturas Kongress 1819. gadā
Avots Nr. 2:
""SVĒTĀS TRĪSVIENĪBAS VĀRDĀ.
Par Brazīlijas impēriju, tās teritorijām, valdību, dinastiju un reliģiju.
Art. 1. Brazīlijas EMPIRIJA ir visu Brazīlijas pilsoņu politiskā apvienība. Tie veidos brīvu un neatkarīgu nāciju un neveidos nekādu citu savienību vai federāciju, kuras dēļ tā varētu zaudēt savu neatkarību.
1. pants. 2. Tās teritorija ir sadalīta provincēs tādā formā, kādā tā pašlaik atrodas; tās var tikt sadalītas sīkāk, ja tas nepieciešams valsts labā.
5. pants. 3. Tās valdība ir mantojama monarhija, konstitucionāla un pārstāvnieciska.
Pants. 4. Valdošā dinastija ir lorda Dom Pedro I, pašreizējā imperatora un Brazīlijas mūžīgā aizstāvja dinastija.
Pants. 5. Katoļu apustuliskā Romas reliģija arī turpmāk būs impērijas reliģija. Visu citu reliģiju sekotājiem ir atļauts pielūgt dievkalpojumus savās mājsaimniecībās vai īpašos namos ar šādu nolūku, ja vien uz tempļa ārpuses nekas to nenorāda.""
Brazīlijas impērijas konstitūcija, 1824. gada 25. marts
Kurš no turpmāk minētajiem faktoriem visvairāk grautu 1. avota 1. pantā paustās cerības?",Amerikas Savienoto Valstu un Eiropas lielvaru iejaukšanās Latīņamerikas valstu neatkarības iegūšanā,"Nacionālisms Latīņamerikā, kas uzstāj uz ciešāku vienotību starp bijušajām Spānijas kolonijām Dienvidamerikā","Vergu sacelšanās, kas sadrumstalo jaunās neatkarīgās Latīņamerikas valstis",Elites sekcionālisms dažādās jauno neatkarīgo Latīņamerikas valstu teritorijās,D,high_school_world_history,207high_school_world_history
